bookID,title,authors,average_rating,publication_date,language_code,primary_author
2560,Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,5.0,2006-09-01,eng,Julie Sylvester
2843,Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,5.0,2002-01-01,eng,Tara MacCarthy
4287,Middlesex Borough (Images of America: New Jersey),Middlesex Borough Heritage Committee,5.0,2003-03-17,eng,Middlesex Borough Heritage Committee
14741,Zone of the Enders: The 2nd Runner Official Strategy Guide,Tim Bogenn,5.0,2003-03-06,eng,Tim Bogenn
17224,The Diamond Color Meditation: Color Pathway to the Soul,John  Diamond,5.0,2006-02-01,eng,John  Diamond
17830,Bulgakov's the Master and Margarita: The Text as a Cipher,Elena N. Mahlow,5.0,1975-01-01,eng,Elena N. Mahlow
18184,The Complete Theory Fun Factory: Music Theory Puzzles and Games for the Early Grades,Ian        Martin/Katie Elliott,5.0,2004-06-01,eng,Ian        Martin
19786,The Goon Show  Volume 4: My Knees Have Fallen Off!,NOT A BOOK,5.0,1996-04-01,eng,NOT A BOOK
19788,The Goon Show  Volume 11: He's Fallen in the Water!,NOT A BOOK,5.0,1995-10-02,eng,NOT A BOOK
20954,Winchester Shotguns,Dennis Adler/R.L. Wilson,5.0,2008-05-15,eng,Dennis Adler
20957,Colossians and Philemon: A Critical and Exegetical Commentary (International Critical Commentary),R. McL. Wilson,5.0,2005-12-07,eng,R. McL. Wilson
23276,Taxation of Mineral Rents,Ross Garnaut,5.0,1983-11-17,eng,Ross Garnaut
23552,The New Big Book of America,Todd Davis/Marc Frey,5.0,2002-03-21,eng,Todd Davis
32823,Fanning the Flame: Bible  Cross  and Mission,Chris    Green/Chris Wright/Paul Douglas Gardner,5.0,2003-06-17,eng,Chris    Green
36492,Oliver Wendell Holmes in Paris: Medicine  Theology  and the Autocrat of the Breakfast Table,William C. Dowling,5.0,2007-02-28,eng,William C. Dowling
36853,Tyrannosaurus Wrecks (Stanley  #1),Laura Driscoll/Alisa Klayman-Grodsky/Eric     Weiner,5.0,2003-02-01,eng,Laura Driscoll
38804,The Irish Anatomist: A Study of Flann O'Brien,Keith Donohue,5.0,2003-07-25,eng,Keith Donohue
39580,The American Campaign: U.S. Presidential Campaigns and the National Vote,James E. Campbell,5.0,2000-05-01,eng,James E. Campbell
39829,His Princess Devotional: A Royal Encounter With Your King,Sheri Rose Shepherd,5.0,2007-10-16,eng,Sheri Rose Shepherd
41639,Bill Gates: Computer Legend (Famous Lives),Sara Barton-Wood,5.0,2001-11-01,eng,Sara Barton-Wood
15705,Existential Meditation,Simon Cleveland,4.91,2005-12-22,eng,Simon Cleveland
37424,Little Big Book for God's Children,Alice Wong/Lena Tabori,4.88,2001-09-01,en-US,Alice Wong
22235,Stargirl LitPlans on CD,Mary B. Collins,4.86,2005-09-15,eng,Mary B. Collins
39382,Corvette,Jerry Burton,4.83,2006-10-01,eng,Jerry Burton
24812,The Complete Calvin and Hobbes,Bill Watterson,4.82,2005-09-06,eng,Bill Watterson
17277,The Feynman Lectures on Physics Vols 7-8,Richard P. Feynman,4.8,2006-01-03,en-US,Richard P. Feynman
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,2004-09-13,eng,J.K. Rowling
24814,It's a Magical World (Calvin and Hobbes  #11),Bill Watterson,4.76,1996-09-01,eng,Bill Watterson
16898,True Harvest: Readings From Henry David Thoreau For Every Day Of The Year,Henry David Thoreau/Barry M. Andrews,4.75,2005-10-07,eng,Henry David Thoreau
20913,The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History,Don Macmillan/Wayne G. Broehl Jr.,4.75,2007-05-15,eng,Don Macmillan
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,2005-09-12,eng,J.K. Rowling
6550,Early Color,Saul Leiter/Martin Harrison,4.73,2006-01-15,eng,Saul Leiter
24816,Homicidal Psycho Jungle Cat (Calvin and Hobbes #9),Bill Watterson,4.72,1994-09-06,eng,Bill Watterson
34545,Elliott Erwitt: Snaps,Murray Sayle/Charles Flowers/Elliott Erwitt,4.72,2003-06-01,en-GB,Murray Sayle
35561,The Beatles' Story on Capitol Records  Part Two: The Albums,Bruce Spizer,4.72,2010-01-01,eng,Bruce Spizer
17276,The Feynman Lectures on Physics Vols 3-4,Richard P. Feynman,4.71,2004-05-12,en-US,Richard P. Feynman
24820,Calvin and Hobbes: Sunday Pages 1985-1995: An Exhibition Catalogue,Bill Watterson,4.71,2001-09-17,eng,Bill Watterson
955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.7,2005-01-01,eng,Gary Chapman
20749,Study Bible: NIV,Anonymous,4.7,2002-10-01,eng,Anonymous
24520,The Complete Aubrey/Maturin Novels (5 Volumes),Patrick O'Brian,4.7,2004-10-17,eng,Patrick O'Brian
44826,The Price of the Ticket: Collected Nonfiction  1948-1985,James Baldwin,4.7,1985-09-15,eng,James Baldwin
24818,The Days Are Just Packed,Bill Watterson,4.69,1993-09-01,eng,Bill Watterson
26805,The Sibley Field Guide to Birds of Western North America,David Allen Sibley,4.69,2003-04-29,en-US,David Allen Sibley
31401,A Wife After God's Own Heart Growth and Study Guide,Elizabeth George,4.69,2004-01-01,eng,Elizabeth George
32160,Cook's Illustrated 2003 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,4.69,2003-11-15,eng,Cook's Illustrated Magazine
2680,Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C./Xavier de C./Joseph Rowe,4.67,2004-05-04,eng,Xavier de C.
5309,The Life and Times of Scrooge McDuck,Don Rosa,4.67,2005-06-01,eng,Don Rosa
8048,Bill Buzz,Roger Hargreaves/Gray Jolliffe,4.67,1989-10-14,eng,Roger Hargreaves
12789,Falling Angels (Luc Actar #1),Melissa M. Garcia,4.67,2006-02-14,eng,Melissa M. Garcia
30836,Restless Till We Rest in You: 60 Reflections from the Writings of St. Augustine (Saints Speak Today),Augustine of Hippo,4.67,1998-12-31,eng,Augustine of Hippo
39201,Getting a Grip on the Basics: Building a Firm Foundation for the Victorious Christian Life,Beth A. Jones,4.67,2006-05-01,eng,Beth A. Jones
44849,Code Check Electrical: An Illustrated Guide to Wiring a Safe House,Michael      Casey/Redwood Kardon/Douglas Hansen,4.67,2005-11-11,eng,Michael      Casey
23753,The Absolute Sandman  Volume One,Neil Gaiman/Mike Dringenberg/Chris Bachalo/Michael Zulli/Kelly Jones/Charles Vess/Colleen Doran/Malcolm Jones III/Steve Parkhouse/Daniel Vozzo/Lee Loughridge/Steve Oliff/Todd Klein/Dave McKean/Sam Kieth,4.65,2006-11-01,eng,Neil Gaiman
3582,The New Annotated Sherlock Holmes: The Complete Short Stories,Arthur Conan Doyle/Leslie S. Klinger,4.64,2004-11-30,eng,Arthur Conan Doyle
23589,The J.R.R. Tolkien Companion and Guide,Christina Scull/Wayne G. Hammond,4.64,2006-11-02,eng,Christina Scull
27204,The Gospel According to Luke,Anonymous/Thomas Cahill,4.64,1999-10-29,eng,Anonymous
39661,The Shawshank Redemption: The Shooting Script,Frank Darabont/Stephen King,4.64,2004-09-30,eng,Frank Darabont
2688,Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James/Leo Bersani,4.63,2006-02-02,eng,Henry James
13206,The Collected Autobiographies of Maya Angelou,Maya Angelou,4.63,2004-09-21,eng,Maya Angelou
17280,The Feynman Lectures on Physics Vol 3,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.63,2005-09-01,eng,Richard P. Feynman
24813,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,4.63,1995-09-05,eng,Bill Watterson
24819,The Calvin And Hobbes:  Tenth Anniversary Book,Bill Watterson,4.63,2008-02-01,eng,Bill Watterson
1750,Dionysiac Poetics and Euripides' Bacchae,Charles Segal,4.62,1997-11-16,eng,Charles Segal
11323,Herbert the Timid Dragon,Mercer Mayer,4.62,1991-07-01,eng,Mercer Mayer
19333,The World of Peter Rabbit (Original Peter Rabbit  Books 1-23),Beatrix Potter,4.62,2006-05-04,eng,Beatrix Potter
23721,Nausicaä of the Valley of the Wind  Vol. 6 (Nausicaä of the Valley of the Wind  #6),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.62,2004-08-10,eng,Hayao Miyazaki
35111,The Feynman Lectures on Physics Vol 2,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.62,2005-09-01,eng,Richard P. Feynman
35406,Lego Star Wars: Prima Official Game Guide,Michael Littlefield,4.62,2006-09-12,eng,Michael Littlefield
37525,Organizational Architecture: Designs for Changing Organizations,David A. Nadler/Robert B. Shaw/Marc S. Gerstein,4.62,1992-05-26,eng,David A. Nadler
313,100 Years of Lynchings,Ralph Ginzburg,4.61,1996-11-22,eng,Ralph Ginzburg
17142,Collected Essays: Notes of a Native Son / Nobody Knows My Name / The Fire Next Time / No Name in the Street / The Devil Finds Work / Other Essays,James Baldwin/Toni Morrison,4.61,1998-02-01,eng,James Baldwin
17334,The Complete C.S. Lewis Signature Classics,C.S. Lewis,4.61,2007-02-06,eng,C.S. Lewis
19445,A Guide to the Words of My Perfect Teacher,Ngawang Pelzang/Padmakara Translation Group/Patrul Rinpoche/Alak Zenkar,4.61,2004-06-22,eng,Ngawang Pelzang
23318,Discovery of the Presence of God: Devotional Nonduality,David R. Hawkins,4.61,2007-06-28,en-US,David R. Hawkins
23722,Nausicaä of the Valley of the Wind  Vol. 5 (Nausicaä of the Valley of the Wind  #5),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,2004-06-30,eng,Hayao Miyazaki
23724,Nausicaä of the Valley of the Wind  Vol. 7 (Nausicaä of the Valley of the Wind  #7),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,2004-09-07,eng,Hayao Miyazaki
25741,Collected Stories III: One Night in Brazil to The Death of Methuselah,Isaac Bashevis Singer/Ilan Stavans,4.61,2004-07-08,eng,Isaac Bashevis Singer
5545,The Feynman Lectures on Physics  3 Vols,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.6,1989-01-01,en-US,Richard P. Feynman
